,node_id,x_coord,y_coord
0,0,120.4409707,31.9174058
1,1,120.4403109,31.917295
2,3,120.5943333,31.8059099
3,5,120.5693824,31.8472728
4,6,120.5262161,31.8415321
5,7,120.5259649,31.8415337
6,8,120.5182457,31.8443376
7,9,120.576697,31.8044708
8,11,120.6062746,31.7984866
9,13,120.606757,31.7516998
10,14,120.6072141,31.7547312
11,15,120.6071513,31.7909851
12,18,120.5443181,31.8117267
13,19,120.5441239,31.8117424
14,20,120.527524,31.8132591
15,21,120.5273403,31.8132901
16,24,120.608318,31.7624561
17,25,120.608647,31.7661034
18,26,120.6086022,31.775938
19,28,120.605585,31.727644
20,29,120.6052319,31.7319735
21,33,120.6592204,31.7925552
22,34,120.6615062,31.7878304
23,37,120.7244755,31.9761958
24,38,120.7245629,31.9761273
25,39,120.7253812,31.974284
26,41,120.6613914,31.7730113
27,49,120.6077873,31.7942125
28,52,120.6069965,31.790987
29,54,120.6056146,31.7887742
30,58,120.6217843,31.7858887
31,59,120.6187068,31.7865658
32,60,120.6269896,31.7844841
33,61,120.6261875,31.7847219
34,63,120.6186867,31.7864543
35,64,120.6217468,31.7857869
36,65,120.6270404,31.784356
37,66,120.6327019,31.7824355
38,67,120.6262429,31.784591
39,72,120.6056124,31.7886726
40,78,120.6066419,31.7517049
41,79,120.6054825,31.7433775
42,80,120.6050956,31.738801
43,81,120.6071143,31.7547442
44,83,120.6084588,31.7759243
45,84,120.6084533,31.7655792
46,85,120.6080949,31.7619631
47,89,120.5972311,31.8184655
48,91,120.6031122,31.8083092
49,94,120.6065394,31.7973321
50,95,120.5969042,31.8186227
51,96,120.5832987,31.8095299
52,97,120.6061325,31.7984303
53,100,120.5963647,31.8191606
54,101,120.6062561,31.7969739
55,102,120.5962952,31.819674
56,108,120.6626152,31.844707
57,110,120.662145,31.8002015
58,111,120.6621656,31.8003079
59,114,120.6569265,31.7737596
60,115,120.6574189,31.7736527
61,118,120.6331701,31.7822592
62,119,120.6385214,31.7801229
63,120,120.6476904,31.7267179
64,121,120.6479628,31.727155
65,123,120.6640103,31.7539892
66,126,120.662595,31.819124
67,127,120.6626013,31.8191989
68,129,120.6621023,31.7705814
69,130,120.6608973,31.7706803
70,132,120.6645293,31.7777466
71,133,120.6645381,31.7785765
72,134,120.6645067,31.7788936
73,139,120.6579941,31.7319354
74,142,120.6569326,31.7738716
75,143,120.6557378,31.774143
76,147,120.6574304,31.7738184
77,148,120.6569355,31.7739253
78,152,120.6331988,31.7823648
79,153,120.6327315,31.7825407
80,157,120.6927874,31.9061067
81,158,120.6966469,31.9097166
82,159,120.6967357,31.9097997
83,166,120.68695,31.8996523
84,169,120.6638864,31.7540116
85,174,120.662094,31.7704941
86,179,120.6643611,31.7788383
87,180,120.6643801,31.7785842
88,181,120.6643601,31.7719975
89,183,120.6538954,31.7745099
90,186,120.6624729,31.8192011
91,187,120.6624663,31.8191283
92,189,120.6390273,31.7800403
93,192,120.6581356,31.7320061
94,197,120.6637578,31.7666525
95,198,120.6638366,31.766425
96,201,120.6742954,31.8711904
97,202,120.6753758,31.8731161
98,203,120.6754302,31.8732326
99,204,120.6792499,31.8829884
100,205,120.6792892,31.8831421
101,206,120.6791857,31.8831955
102,207,120.6791393,31.8830435
103,208,120.67532,31.8733024
104,209,120.6752685,31.8731923
105,210,120.6741713,31.8712445
106,212,120.6871378,31.8997233
107,217,120.6588732,31.7711271
108,218,120.6603491,31.7730796
109,219,120.6559309,31.7363766
110,221,120.7303086,31.9813606
111,222,120.7288424,31.9800424
112,223,120.7281054,31.9793932
113,224,120.7215417,31.9734415
114,226,120.6643787,31.7704981
115,227,120.6620242,31.8002387
116,228,120.6620043,31.8001274
117,231,120.6390816,31.7798986
118,232,120.6566984,31.7376914
119,233,120.6565916,31.7363819
120,234,120.6566447,31.7360032
121,238,120.6626559,31.8434651
122,241,120.6628229,31.8284639
123,242,120.6628072,31.8288628
124,246,120.6638099,31.8514864
125,247,120.696655,31.9098589
126,248,120.6965619,31.9097718
127,249,120.6927359,31.906192
128,250,120.6567715,31.7363836
129,252,120.6642401,31.8535596
130,253,120.6384564,31.7802695
131,255,120.658119,31.7716476
132,256,120.6574262,31.7737583
133,257,120.6626516,31.828872
134,258,120.6626621,31.8284648
135,264,120.728769,31.971738
136,265,120.7304392,31.970471
137,267,120.7287026,31.9791806
138,268,120.7291849,31.971943
139,273,120.7436311,31.9583535
140,276,120.7435065,31.9583237
141,278,120.7419569,31.9611437
142,279,120.7293076,31.9720035
143,280,120.7288393,31.9791504
144,282,120.7430658,31.959928
145,283,120.7429444,31.9600761
146,286,120.7435319,31.959419
147,287,120.7282093,31.9793398
148,288,120.7120639,31.9646993
149,289,120.6686876,31.9174284
150,290,120.6647121,31.9206581
151,291,120.6642944,31.9208795
152,292,120.637486,31.8261285
153,293,120.6406666,31.8188701
154,294,120.6407154,31.8187638
155,296,120.697147,31.9509927
156,297,120.6845426,31.9394159
157,298,120.6258788,31.8622774
158,299,120.6275848,31.8588026
159,300,120.6627305,31.9194199
160,301,120.6630361,31.9192328
161,302,120.6689233,31.9170546
162,303,120.6404371,31.8836735
163,304,120.635992,31.877259
164,305,120.6625536,31.9192565
165,306,120.6359536,31.8771811
166,308,120.6296388,31.8404027
167,311,120.697241,31.9510792
168,312,120.6639885,31.9205995
169,313,120.6645132,31.9206896
170,314,120.6406067,31.8838793
171,315,120.6515816,31.9091375
172,316,120.6417922,31.8982693
173,317,120.6413691,31.8977177
174,318,120.6645992,31.9211563
175,319,120.6412901,31.8976163
